UF,Município,ICM_Classification
SC,Joinville,B
SC,Porto União,B
SC,Schroeder,B
RS,Bagé,B
RS,Bom Princípio,B
RS,Itati,B
RS,Rio Grande,B
RS,São Sebastião do Caí,B
RS,Venâncio Aires,B
MT,Várzea Grande,B
RO,Jaru,B
AM,Anamã,B
AM,Atalaia do Norte,B
AM,São Paulo de Olivença,B
PA,Bragança,B
PA,Terra Santa,B
PA,Tucuruí,B
MA,Cantanhede,B
MA,Pedreiras,B
CE,Pacatuba,B
PE,Cortês,B
PE,Igarassu,B
PE,São José da Coroa Grande,B
PE,Vitória de Santo Antão,B
AL,Arapiraca,B
AL,Marechal Deodoro,B
AL,Paripueira,B
AL,São José da Laje,B
BA,Ituberá,B
MG,Cajuri,B
MG,Conceição dos Ouros,B
MG,Montes Claros,B
MG,Patos de Minas,B
MG,Periquito,B
MG,Viçosa,B
ES,Ibitirama,B
RJ,Areal,B
RJ,Cambuci,B
RJ,Cordeiro,B
RJ,Miracema,B
RJ,Paraíba do Sul,B
RJ,Valença,B
SP,Cajamar,B
SP,Itaberá,B
SP,Itariri,B
SP,Ourinhos,B
SP,Piquete,B
SP,Ribeirão Preto,B
PR,Guarapuava,B
PR,Ponta Grossa,B
SC,Araranguá,B
SC,Benedito Novo,B
SC,Bombinhas,B
SC,Capinzal,B
SC,Curitibanos,B
SC,Itapema,B
SC,Porto Belo,B
SC,Pouso Redondo,B
RS,Ibirubá,B
MS,Campo Grande,B
GO,Anápolis,B
GO,Catalão,B
RO,Pimenta Bueno,B
PA,Ipixuna do Pará,B
PA,Rondon do Pará,B
MA,Pinheiro,B
MA,Timbiras,B
PI,Barras,B
PI,Floriano,B
PE,Barra de Guabiraba,B
PE,São Benedito do Sul,B
AL,Murici,B
AL,Quebrangulo,B
SE,Lagarto,B
BA,Bom Jesus da Lapa,B
BA,Juazeiro,B
MG,Dona Euzébia,B
MG,Santos Dumont,B
MG,Ubá,B
ES,Atilio Vivacqua,B
ES,Fundão,B
ES,Iconha,B
ES,Linhares,B
SP,Brodowski,B
SP,Ilhabela,B
SP,São Luís do Paraitinga,B
PR,Colombo,B
PR,Cruz Machado,B
PR,Piraquara,B
PR,Rolândia,B
PR,São Miguel do Iguaçu,B
SC,Alfredo Wagner,B
SC,Ascurra,B
SC,Forquilhinha,B
SC,José Boiteux,B
RS,Horizontina,B
RS,Passo Fundo,B
RS,Piratini,B
RS,Taquara,B
RS,Travesseiro,B
GO,Jataí,B
PA,Xinguara,B
TO,Talismã,B
PB,Maturéia,B
PE,João Alfredo,B
BA,Itaparica,B
BA,Madre de Deus,B
MG,Uberaba,B
RJ,Cabo Frio,B
SP,Paraguaçu Paulista,B
SP,Santa Branca,B
PR,Arapongas,B
PR,Goioerê,B
PR,Pontal do Paraná,B
SC,Lebon Régis,B
RS,São Domingos do Sul,B
MT,Primavera do Leste,B
MA,Centro Novo do Maranhão,B
RN,Pedro Velho,B
PE,Angelim,B
BA,Dias dÁvila,B
MG,Ituiutaba,B
MG,Mário Campos,B
MG,Nazareno,B
ES,Águia Branca,B
ES,Ponto Belo,B
SP,Américo Brasiliense,B
SP,Corumbataí,B
SP,Monte Azul Paulista,B
PR,Centenário do Sul,B
PR,Planaltina do Paraná,B
PR,Planalto,B
PR,Ramilândia,B
PR,Rosário do Ivaí,B
PR,Santa Amélia,B
PR,Santa Cecília do Pavão,B
PR,Ventania,B
